rosbagTimestamp,data
0,-0.5982056856
0.001,2.5262224674
0.002,3.5904304981
0.003,3.5904304981
0.004,-0.0903290585
0.005,0.6275177002
0.006,0.6275177002
0.007,4.0151562691
0.008,4.0151562691
0.009,1.4596217871
0.01,-0.5611169338
0.011,-0.5611169338
0.012,2.9216365814
0.013,2.9216365814
0.014,3.3308091164
0.015,-0.3894318938
0.016,-0.3894318938
0.017,1.0588240624
0.018,1.0588240624
0.019,4.1407794952
0.02,1.0791629553
0.021,1.0791629553
0.022,-0.4378865361
0.023,-0.4378865361
0.024,3.3032915592
0.025,2.9581267834
0.026,2.9581267834
0.027,-0.5718846321
0.028,-0.5718846321
0.029,1.5589239597
0.03,3.9798622131
0.031,3.9798622131
0.032,0.6496513486
0.033,-0.2691925466
0.034,-0.1561316848
0.035,3.5934214592
0.036,3.5934214592
0.037,2.4580271244
0.038,-0.6089733839
0.039,-0.6089733839
0.04,2.068595171
0.041,2.068595171
0.042,3.8285162449
0.043,0.2470589429
0.044,0.2470589429
0.045,0.1465603858
0.046,0.1465603858
0.047,3.8691942692
0.048,2.037488699
0.049,2.037488699
0.05,-0.693320334
0.051,-0.693320334
0.052,2.4592232704
0.053,3.6586260796
0.054,3.6586260796
0.055,-0.0735792965
0.056,-0.0735792965
0.057,0.5946164131
0.058,4.0366916657
0.059,4.0366916657
0.06,1.5218352079
0.061,1.5218352079
0.062,-0.5246263742
0.063,2.9461631775
0.064,2.9461631775
0.065,3.2608191967
0.066,3.2608191967
0.067,-0.3661018908
0.068,1.1288141012
0.069,1.1288141012
0.07,4.0642089844
0.071,4.0642089844
0.072,1.0127621889
0.073,-0.3738785386
0.074,-0.3738785386
0.075,3.3122649193
0.076,3.3122649193
0.077,2.8642086983
0.078,-0.5832505226
0.079,-0.5832505226
0.08,1.6025930643
0.081,1.6025930643
0.082,4.0175490379
0.083,0.6448657513
0.084,0.6448657513
0.085,-0.0592223629
0.086,-0.0592223629
0.087,3.6496527195
0.088,2.3898317814
0.089,2.3898317814
0.09,-0.628115952
0.091,-0.628115952
0.092,2.0883359909
0.093,3.8422749043
0.094,3.8422749043
0.095,0.2632104754
0.096,0.2632104754
0.097,0.2003988922
0.098,3.8524444103
0.099,3.8524444103
0.1,2.0165512562
0.101,2.0165512562
0.102,-0.5461617708
0.103,2.5070798397
0.104,2.5070798397
0.105,3.6436707974
0.106,3.6436707974
0.107,-0.0999003425
0.108,0.6729813814
0.109,0.6729813814
0.11,4.0947179794
0.111,4.0947179794
0.112,1.4237295389
0.113,-0.5204389095
0.114,-0.5204389095
0.115,2.9294133186
0.116,2.9294133186
0.117,3.1914269924
0.118,-0.4737789035
0.119,-0.4737789035
0.12,1.113260746
0.121,1.113260746
0.122,4.138985157
0.123,1.0325030088
0.124,1.0325030088
0.125,-0.4486542344
0.126,-0.4486542344
0.127,3.2757744789
0.128,2.8576285839
0.129,2.8576285839
0.13,-0.5162515044
0.131,-0.5162515044
0.132,1.5708881617
0.133,3.975076437
0.134,3.975076437
0.135,0.5096712112
0.136,0.5096712112
0.137,-0.1722832471
0.138,3.6771702766
0.139,3.6771702766
0.14,2.5770699978
0.141,2.5770699978
0.142,-0.6687938571
0.143,1.9339988232
0.144,1.9339988232
0.145,3.8267216682
0.146,3.8267216682
0.147,0.2907279432
0.148,0.2177468687
0.149,0.2177468687
0.15,3.7531423569
0.151,3.7531423569
0.152,2.0081763268
0.153,-0.6209374666
0.154,-0.6209374666
0.155,2.4394824505
0.156,2.4394824505
0.157,3.7076787949
0.158,-0.0646062121
0.159,-0.0646062121
0.16,0.5706881881
0.161,0.5706881881
0.162,3.9343984127
0.163,1.3812568188
0.164,1.3812568188
0.165,-0.6005984545
0.166,-0.6005984545
0.167,2.9234311581
0.168,3.4193434715
0.169,3.4193434715
0.17,-0.3828516006
0.171,0.9954141974
0.172,1.0540384054
0.173,4.219742775
0.174,4.219742775
0.175,0.9499505758
0.176,-0.6705886126
0.177,-0.6705886126
0.178,3.4582266808
0.179,3.4582266808
0.18,3.2566316128
0.181,-0.3930211365
0.182,-0.3930211365
0.183,1.3411772251
0.184,1.3411772251
0.185,3.8404800892
0.186,0.6556334496
0.187,0.6556334496
0.188,-0.0173479654
0.189,-0.0173479654
0.19,3.6113677025
0.191,2.4999012947
0.192,2.4999012947
0.193,-0.5958128572
0.194,-0.5958128572
0.195,2.0279173851
0.196,3.8428730965
0.197,3.8428730965
0.198,0.2207379043
