rosbagTimestamp,data
0,-3.256033659
0.1,-0.7776673436
0.2,-0.4055834413
0.3,-3.6167514324
0.4,-0.2817548811
0.5,-2.4532413483
0.6,-3.332603693
0.7,0.0388833694
0.8,-2.9138598442
0.9,-1.5026925802
1,-0.1375873089
1.1,-3.113660574
1.2,-1.5690934658
1.3,-0.6227321029
1.4,-2.5866413117
1.5,-2.5124638081
1.6,-0.1339980811
1.7,-2.1254248619
1.8,-2.9964125156
1.9,-0.6346962452
2,-0.4307081103
2.1,-3.2039895058
2.2,-3.3720850945
2.3,-1.1593226194
2.4,-0.109471634
2.5,-2.3928227425
2.6,-3.467798233
2.7,-2.0428724289
2.8,-0.1800599098
2.9,-1.8323040009
3,-3.1351957321
3.1,-2.411367178
3.2,-0.1028913781
3.3,-1.1784651279
3.4,-3.495913744
3.5,-2.8612177372
3.6,0.2482553422
3.7,-1.0671988726
3.8,-3.5078780651
3.9,-3.1866414547
4,-0.6406782866
4.1,-0.5048855543
4.2,-3.4588251114
4.3,-3.4941194058
4.4,-0.7668996453
4.5,-0.0753739104
4.6,-3.1118657589
4.7,-3.5288150311
4.8,-1.2191431522
4.9,0.0891326368
5,-2.8731818199
5.1,-3.6281170845
5.2,-1.5984054804
5.3,0.016151553
5.4,-2.2229323387
5.5,-3.1758737564
5.6,-2.2618157864
5.7,0.1974078715
5.8,-1.7844474316
5.9,-3.4701910019
6,-2.5214366913
6.1,-0.0227318164
6.2,-1.1850454807
6.3,-3.1710879803
6.4,-2.9318058491
6.5,-0.536590457
6.6,-0.8632107377
6.7,-3.5533416271
6.8,-3.4360933304
6.9,-0.9708877802
7,-0.8578268886
7.1,-3.3224341869
7.2,-3.1836504936
7.3,-1.0947164297
7.4,0.0538385138
7.5,-2.9910283089
7.6,-3.7375888825
7.7,-1.762912035
7.8,-0.0622133873
7.9,-2.4759733677
8,-3.2997026444
8.1,-0.9397810698
8.2,-0.5413761735
8.3,-2.8911278248
8.4,-0.7447659969
8.5,-0.7070790529
8.6,-3.3260233402
8.7,-0.2452643365
8.8,-0.9086744189
8.9,-3.0358939171
9,-0.1597209126
9.1,-3.2955150604
9.2,-2.4987051487
9.3,-0.2297109663
