rosbagTimestamp,data
0,9.9619188309
0.1,9.3834543228
0.2,9.0065841675
0.3,10.1892375946
0.4,9.4528465271
0.5,9.8650102615
0.6,9.7896356583
0.7,9.2321081162
0.8,10.242477417
0.9,9.2877407074
1,9.1328058243
1.1,10.4506530762
1.2,9.6012010574
1.3,9.5431747437
1.4,10.0414791107
1.5,9.7633142471
1.6,9.075378418
1.7,9.9511508942
1.8,9.9684991837
1.9,9.2386875153
2,9.1405830383
2.1,10.3716897964
2.2,10.330414772
2.3,9.437292099
2.4,9.1184482575
2.5,9.9433746338
2.6,10.3465652466
2.7,9.2931251526
2.8,9.1178503037
2.9,9.808180809
3,10.0719890594
3.1,9.5479602814
3.2,9.1100740433
3.3,9.5748806
3.4,9.9379911423
3.5,9.897313118
3.6,8.8109712601
3.7,9.3433742523
3.8,10.3178520203
3.9,9.8602237701
4,9.2524471283
4.1,9.3607225418
4.2,9.9218397141
4.3,10.0115699768
4.4,8.9826564789
4.5,9.1447706223
4.6,10.1850500107
4.7,10.1084785461
4.8,9.4845514298
4.9,9.6682004929
5,10.2239332199
5.1,9.9858474731
5.2,9.426525116
5.3,9.2859458923
5.4,9.7351989746
5.5,9.9445714951
5.6,9.5766744614
5.7,9.1082801819
5.8,9.7136640549
5.9,10.3561353683
6,9.9996051788
6.1,9.0341014862
6.2,9.3631153107
6.3,9.897313118
6.4,9.8524475098
6.5,8.9018983841
6.6,9.4301137924
6.7,10.1479606628
6.8,10.1497564316
6.9,9.040681839
7,9.2901334763
7.1,10.3274230957
7.2,9.9810619354
7.3,9.4498548508
7.4,9.5024967194
7.5,10.1898345947
7.6,10.8173532486
7.7,9.1005029678
7.8,9.1423768997
7.9,9.8967142105
8,10.445268631
8.1,9.0759763718
8.2,9.1381893158
8.3,9.5814599991
8.4,8.6033935547
8.5,9.2189474106
8.6,9.9015007019
8.7,8.9449691773
8.8,9.1680994034
8.9,9.8691959381
9,9.2757778168
9.1,10.5972137451
9.2,9.8787689209
9.3,8.9096746445
