rosbagTimestamp,data
0,9.5264253616
0.1,9.5282201767
0.2,9.659825325
0.3,9.691529274
0.4,9.7429761887
0.5,9.1226358414
0.6,9.5671033859
0.7,9.7064857483
0.8,9.7184486389
0.9,9.5060863495
1,9.6699943543
1.1,9.5587282181
1.2,9.3493566513
1.3,9.2255277634
1.4,9.7537441254
1.5,9.6035938263
1.6,9.4396858215
1.7,9.6059865952
1.8,9.9355983734
1.9,9.1686983109
2,9.5024967194
2.1,9.9338035584
2.2,9.7160558701
2.3,9.2524471283
2.4,9.5748806
2.5,9.950553894
2.6,9.5790681839
2.7,9.3367938995
2.8,9.9613208771
2.9,9.7316102982
3,9.3439722061
3.1,9.5294160843
3.2,9.7561359406
3.3,9.482755661
3.4,9.2680006027
3.5,9.9409818649
3.6,9.7501544952
3.7,9.399605751
3.8,9.3834543228
3.9,9.9768743515
4,9.397810936
4.1,9.2656078339
4.2,9.9858474731
4.3,9.7375917435
4.4,9.3840522766
4.5,9.3385887146
4.6,9.9840526581
4.7,9.6616201401
4.8,9.5324077606
4.9,9.7040920258
5,9.6502532959
5.1,9.4564352036
5.2,9.3451690674
5.3,9.7393865585
5.4,9.7920293808
5.5,9.4295158386
5.6,9.4678010941
5.7,9.8781700134
5.8,9.3421783447
5.9,9.6173524857
6,9.7124671936
6.1,9.5940217972
6.2,9.4923276901
6.3,9.6682004929
6.4,9.8404836655
6.5,9.4851493835
6.6,9.3559370041
6.7,9.9230356216
6.8,9.5168542862
6.9,9.3302135468
7,9.5898342133
7.1,9.6735839844
7.2,9.5048894882
7.3,9.3547401428
7.4,9.8410806656
7.5,9.5784692764
7.6,9.4402837753
7.7,9.6586284638
7.8,9.4965152741
7.9,9.7692966461
8,9.3367938995
8.1,9.8327054977
8.2,9.8751792908
8.3,9.294919014
8.4,9.722038269
8.5,9.9338035584
8.6,9.4378910065
8.7,9.3816595078
8.8,9.608379364
8.9,9.748957634
9,9.3924264908
9.1,9.8907327652
9.2,9.6873426437
