rosbagTimestamp,data
0,-1.9190438986
0.1,-1.8376877308
0.2,-1.4895319939
0.3,-1.4207384586
0.4,-1.9902303219
0.5,-1.7509479523
0.6,-1.1694921255
0.7,-1.8053847551
0.8,-1.755135417
0.9,-1.2000006437
1,-1.6971094608
1.1,-2.1840488911
1.2,-1.4177474976
1.3,-1.2047861815
1.4,-1.9142581224
1.5,-2.098505497
1.6,-1.3244273663
1.7,-1.5397814512
1.8,-1.97288239
1.9,-1.7084753513
2,-1.208375454
2.1,-1.7916259766
2.2,-1.8137594461
2.3,-1.4147562981
2.4,-1.3878371716
2.5,-1.8861426115
2.6,-1.6354943514
2.7,-1.3944172859
2.8,-1.8616160154
2.9,-1.8747766018
3,-1.4147562981
3.1,-1.323829174
3.2,-1.9716858864
3.3,-1.7425731421
3.4,-1.3190435171
3.5,-1.7294125557
3.6,-1.9501504898
3.7,-1.4614163637
3.8,-1.4691929817
3.9,-2.0057837963
4,-1.8173488379
4.1,-1.4476575851
4.2,-1.898704648
4.3,-2.0799610615
4.4,-1.4081760645
4.5,-1.7162519693
4.6,-2.0937197208
4.7,-1.5361920595
4.8,-1.268794179
4.9,-1.7270196676
5,-1.9818553925
5.1,-1.4350954294
5.2,-1.3082756996
5.3,-1.9465612173
5.4,-1.8717855215
5.5,-1.2179467678
5.6,-1.6851453781
5.7,-1.8394824266
5.8,-1.544566989
5.9,-1.336391449
6,-2.0105690956
6.1,-1.9788644314
6.2,-1.3334003687
6.3,-1.634297967
6.4,-1.9830517769
6.5,-1.6181463003
6.6,-1.3800604343
6.7,-1.8011974096
6.8,-2.0835502148
6.9,-1.5900306702
7,-1.672582984
7.1,-2.1343977451
7.2,-1.4261221886
7.3,-1.2741781473
7.4,-1.8717855215
7.5,-1.8628123999
7.6,-1.4488540888
7.7,-1.3752747774
7.8,-2.1128623486
7.9,-1.762313962
8,-1.3639088869
8.1,-1.6815562248
8.2,-1.9567307234
8.3,-1.5529417992
8.4,-1.6205391884
8.5,-2.0285153389
8.6,-1.7048860788
8.7,-1.2705888748
8.8,-1.962712884
8.9,-1.8119649887
9,-1.3986048698
9.1,-1.7144575119
9.2,-2.1224339008
