rosbagTimestamp,data
0,1.2191431522
0.1,1.0773683786
0.2,1.0474581718
0.3,1.075573802
0.4,0.9439685345
0.5,0.9613164663
0.6,1.0115658045
0.7,0.9732806087
0.8,0.8015955687
0.9,1.0480563641
1,1.030708313
1.1,0.9649057388
1.2,0.9349954724
1.3,0.9780662656
1.4,1.0426723957
1.5,0.9212367535
1.6,1.1198409796
1.7,1.030708313
1.8,0.9888339639
1.9,1.1778669357
2,1.5008978844
2.1,0.9547362924
2.2,1.2023934126
2.3,1.4883357287
2.4,1.6073784828
2.5,1.260419488
2.6,1.5876377821
2.7,1.667199254
2.8,1.7192430496
2.9,1.5810576677
3,1.7180466652
3.1,1.6767704487
3.2,1.4847465754
3.3,1.8023935556
3.4,1.7659032345
3.5,1.6480567455
3.6,1.3519448042
3.7,1.8131613731
3.8,1.5834504366
3.9,1.4470595121
4,1.3154542446
4.1,1.6163518429
4.2,1.3956137896
4.3,1.268196106
4.4,1.403988719
4.5,1.3992030621
4.6,1.3130614758
4.7,1.2406785488
4.8,1.2293126583
4.9,1.3375877142
5,1.3046865463
5.1,1.3250256777
5.2,1.2269197702
5.3,1.4303097725
5.4,1.3076776266
5.5,1.3094722033
5.6,1.2502498627
5.7,1.2646067143
5.8,1.2340983152
5.9,1.2646067143
6,1.4099708796
6.1,1.268794179
6.2,1.3250256777
6.3,1.4075779915
6.4,1.6719846726
6.5,1.2227323055
6.6,1.4303097725
6.7,1.7527425289
6.8,1.9226329327
6.9,1.4745770693
7,1.6564314365
7.1,1.9022939205
7.2,1.9657037258
7.3,1.7126629353
7.4,1.9890338182
7.5,1.9531414509
7.6,1.7605191469
7.7,1.524826169
7.8,1.9812572002
7.9,1.7407784462
8,1.4673984051
8.1,1.3477572203
8.2,1.7252252102
8.3,1.5894323587
8.4,1.3286147118
8.5,1.3914263248
8.6,1.6247265339
8.7,1.4422738552
8.8,1.3812568188
8.9,1.3800604343
9,1.5266208649
9.1,1.539183259
9.2,1.4356936216
