rosbagTimestamp,data
0,-3.9194436073
0.1,-3.817748785
0.2,-2.7678976059
0.3,-1.4201402664
0.4,-0.109471634
0.5,-2.8426735401
0.6,-1.6061823368
0.7,0.2027917206
0.8,0.6299105883
0.9,-1.8640089035
1,-0.2578266263
1.1,0.8321040273
1.2,1.1898310185
1.3,-0.1459621787
1.4,0.7363911867
1.5,0.9469596148
1.6,0.4354937375
1.7,1.3567305803
1.8,0.9397810698
1.9,0.7782655358
2,-0.8171489835
2.1,0.9122636318
2.2,0.3744767606
2.3,-0.5670989752
2.4,-1.9758732319
2.5,0.5593222976
2.6,-0.2703889608
2.7,-1.8293130398
2.8,-3.040081501
2.9,-0.6634100676
3,-1.9034904242
3.1,-3.2458639145
3.2,-3.9936208725
3.3,-1.5254244804
3.4,-3.1555347443
3.5,-4.0115675926
3.6,-3.7704904079
3.7,-3.1130621433
3.8,-3.6167514324
3.9,-3.8685958386
4,-3.0574290752
4.1,-3.966701746
4.2,-4.36211586
4.3,-3.3565318584
4.4,-1.7168502808
4.5,-4.1665019989
4.6,-3.3409786224
4.7,-1.9411774874
4.8,-0.1154536903
4.9,-3.3942189217
5,-1.5786647797
5.1,-0.5778666735
5.2,0.6532405615
5.3,-2.2660031319
5.4,-0.9589237571
5.5,0.955334425
5.6,1.1359926462
5.7,-0.9385846257
5.8,0.2823530734
5.9,1.0588240624
6,1.0025926828
6.1,0.0448654257
6.2,1.1527423859
6.3,0.8021938205
6.4,-0.0729810894
6.5,1.098305583
6.6,1.210768342
6.7,0.2608176768
6.8,-1.4518451691
6.9,1.1449655294
7,-0.289531529
7.1,-1.3728818893
7.2,-2.7385852337
7.3,-3.6771702766
7.4,-1.4979070425
7.5,-2.9587249756
7.6,-4.2323050499
7.7,-4.2550368309
7.8,-3.019742012
7.9,-3.9834516048
8,-4.2400817871
8.1,-3.346960783
8.2,-4.2299118042
8.3,-4.2885365486
8.4,-3.3631124497
8.5,-1.9519450665
8.6,-3.8297126293
8.7,-2.9682965279
8.8,-2.0165512562
8.9,-0.3152543604
9,-3.5665020943
9.1,-1.913061738
9.2,-0.4797609746
